htsymbol,date,price,monthly_return,permno,growth,positive_month,peak_growth,drawdown
AAPL,1981-01-30,28.375,-0.170018,14593,0.829982,False,0.829982,0.0
AAPL,1981-02-27,26.625,-0.061674,14593,0.778793690132,False,0.829982,-0.061674000000000055
AAPL,1981-03-31,24.625,-0.075117,14593,0.7202930445103545,False,0.829982,-0.1321582341420001
AAPL,1981-04-30,28.5,0.15736,14593,0.8336383579945038,True,0.8336383579945038,0.0
AAPL,1981-05-29,33.1875,0.164474,14593,0.9707501932872918,True,0.9707501932872918,0.0
AAPL,1981-06-30,26.0625,-0.214689,14593,0.7623408050406364,False,0.9707501932872918,-0.21468900000000005
AAPL,1981-07-31,25.0625,-0.038369,14593,0.7330905506920322,False,0.9707501932872918,-0.24482059775900006
AAPL,1981-08-31,20.1875,-0.194514,14593,0.5904941753147223,False,0.9707501932872918,-0.3917135640065059
AAPL,1981-09-30,15.3125,-0.241486,14593,0.44789809889467125,False,0.9707501932872918,-0.5386062222888308
AAPL,1981-10-30,20.0625,0.310204,14593,0.5868378807641939,True,0.9707501932872918,-0.3954800268677153
AAPL,1981-11-30,18.6875,-0.068536,14593,0.546618359768139,False,0.9707501932872918,-0.4369114077463096
AAPL,1981-12-31,22.1875,0.187291,14593,0.6489950589874736,True,0.9707501932872918,-0.33144998221452365
AAPL,1982-01-29,20.4375,-0.078873,14593,0.5978068716999546,False,0.9707501932872918,-0.3841805277673175
AAPL,1982-02-26,18.3125,-0.103976,14593,0.5356493044080801,False,0.9707501932872918,-0.4482109732121829
AAPL,1982-03-31,16.9375,-0.075085,14593,0.49543007638659947,False,0.9707501932872918,-0.48964205228854607
AAPL,1982-04-30,14.8125,-0.125461,14593,0.4332729235730603,False,0.9707501932872918,-0.5536720707663729
AAPL,1982-05-28,14.0625,-0.050633,14593,0.4113350156337855,False,0.9707501932872918,-0.5762709928072591
AAPL,1982-06-30,12.8125,-0.088889,14593,0.37477185742911395,False,0.9707501932872918,-0.6139358405276146
AAPL,1982-07-30,13.5625,0.058537,14593,0.39670987764744203,True,0.9707501932872918,-0.5913368028245796
AAPL,1982-08-31,18.0625,0.331797,14593,0.5283370249212304,True,0.9707501932872918,-0.4557435799913666
AAPL,1982-09-30,18.3125,0.013841,14593,0.5356497376831652,True,0.9707501932872918,-0.44821052688202706
AAPL,1982-10-29,25.375,0.385666,14593,0.7422316294164808,True,0.9707501932872918,-0.23540408794251083
AAPL,1982-11-30,31.875,0.256158,14593,0.9323601991445478,True,0.9707501932872918,-0.03954672830168839
AAPL,1982-12-31,29.875,-0.062745,14593,0.8738592584492231,False,0.9707501932872918,-0.09981036883439905
AAPL,1983-01-31,40.875,0.368201,14593,1.1956151112694855,True,1.1956151112694855,0.0
AAPL,1983-02-28,45.625,0.116208,14593,1.33455515211989,True,1.33455515211989,0.0
AAPL,1983-03-31,42.25,-0.073973,14593,1.2358341038521254,False,1.33455515211989,-0.07397299999999991
AAPL,1983-04-29,50.5,0.195266,14593,1.4771504859749145,True,1.4771504859749145,0.0
AAPL,1983-05-31,57.75,0.143564,14593,1.6892161183434171,True,1.6892161183434171,0.0
AAPL,1983-06-30,48.875,-0.15368,14593,1.4296173852764007,False,1.6892161183434171,-0.15368000000000004
AAPL,1983-07-29,34.875,-0.286445,14593,1.020110633350902,False,1.6892161183434171,-0.3961041324000001
AAPL,1983-08-31,37.25,0.0681,14593,1.0895801674820984,True,1.6892161183434171,-0.35497882381644014
AAPL,1983-09-30,23.125,-0.379195,14593,0.6764168158737242,False,1.6892161183434171,-0.5995676287193651
AAPL,1983-10-31,22.625,-0.021622,14593,0.6617913314809025,False,1.6892161183434171,-0.608225777451195
AAPL,1983-11-30,20.375,-0.099448,14593,0.5959775071477897,False,1.6892161183434171,-0.6471869403352285
AAPL,1983-12-30,24.375,0.196319,14593,0.7129792153735366,True,1.6892161183434171,-0.5779230332749002
AAPL,1984-01-31,24.75,0.015385,14593,0.7239484006020585,True,1.6892161183434171,-0.5714293791418346
AAPL,1984-02-29,26.25,0.060606,14593,0.7678240173689468,True,1.6892161183434171,-0.5454554280941046
AAPL,1984-03-30,24.75,-0.057143,14593,0.7239482495444332,False,1.6892161183434171,-0.5714294685665232
AAPL,1984-04-30,31.375,0.267677,14593,0.9177325451377384,True,1.6892161183434171,-0.4567109944240044
AAPL,1984-05-31,29.375,-0.063745,14593,0.8592316840479333,False,1.6892161183434171,-0.4913429520844462
AAPL,1984-06-29,26.5,-0.097872,14593,0.7751369606667939,False,1.6892161183434171,-0.5411262346780373
AAPL,1984-07-31,25.5,-0.037736,14593,0.7458863923190718,False,1.6892161183434171,-0.5584422950862269
AAPL,1984-08-31,26.5,0.039216,14593,0.7751370730802565,True,1.6892161183434171,-0.5411261681303284
AAPL,1984-09-28,25.125,-0.051887,14593,0.7349175357693412,False,1.6892161183434171,-0.56493575464455
AAPL,1984-10-31,24.875,-0.00995,14593,0.7276051062884362,False,1.6892161183434171,-0.5692646438858368
AAPL,1984-11-30,24.75,-0.005025,14593,0.7239488906293369,False,1.6892161183434171,-0.5714290890503104
AAPL,1984-12-31,29.125,0.176768,14593,0.8519198881281035,True,1.6892161183434171,-0.49567146626355574
AAPL,1985-01-31,29.0,-0.004292,14593,0.8482634479682577,False,1.6892161183434171,-0.4978360443303525
AAPL,1985-02-28,24.75,-0.146552,14593,0.7239487431416136,False,1.6892161183434171,-0.5714291763616507
AAPL,1985-03-29,22.125,-0.106061,14593,0.647166015495271,False,1.6892161183434171,-0.6168838264875577
AAPL,1985-04-30,21.25,-0.039548,14593,0.621571893914464,False,1.6892161183434171,-0.6320353049176278
AAPL,1985-05-31,17.375,-0.182353,14593,0.5082263943434797,False,1.6892161183434171,-0.6991347709599836
AAPL,1985-06-28,18.0,0.035971,14593,0.526507805974409,True,1.6892161183434171,-0.6883123478061851
AAPL,1985-07-31,15.875,-0.118056,14593,0.46435040043229425,False,1.6892161183434171,-0.725108945273578
AAPL,1985-08-30,15.0,-0.055118,14593,0.43875633506126704,False,1.6892161183434171,-0.740260390427989
AAPL,1985-09-30,15.75,0.05,14593,0.46069415181433043,True,1.6892161183434171,-0.7272734099493885
AAPL,1985-10-31,18.625,0.18254,14593,0.5447892622865182,True,1.6892161183434171,-0.6774898982015498
AAPL,1985-11-29,20.125,0.080537,14593,0.5886649551032876,True,1.6892161183434171,-0.651515902133008
AAPL,1985-12-31,22.0,0.093168,14593,0.6435096916403507,True,1.6892161183434171,-0.6190483357029362
AAPL,1986-01-31,23.125,0.051136,14593,0.6764162032320716,True,1.6892161183434171,-0.5995679913974415
AAPL,1986-02-28,25.0,0.081081,14593,0.7312607054063313,True,1.6892161183434171,-0.5671005637079375
AAPL,1986-03-31,28.25,0.13,14593,0.8263245971091543,True,1.6892161183434171,-0.5108236369899694
AAPL,1986-04-30,30.25,0.070797,14593,0.8848258996106911,True,1.6892161183434171,-0.4761914180179482
AAPL,1986-05-30,37.0,0.22314,14593,1.0822659508498207,True,1.6892161183434171,-0.3593087710344732
AAPL,1986-06-30,35.875,-0.030405,14593,1.0493596546142319,False,1.6892161183434171,-0.37878898785117004
AAPL,1986-07-31,31.25,-0.12892,14593,0.914076207941365,False,1.6892161183434171,-0.45887551153739725
AAPL,1986-08-29,37.0,0.184,14593,1.082266230202576,True,1.6892161183434171,-0.3593086056602784
AAPL,1986-09-30,33.5,-0.094595,14593,0.9798892561565634,False,1.6892161183434171,-0.4199148081078444
AAPL,1986-10-31,34.625,0.033582,14593,1.0127958971568132,True,1.6892161183434171,-0.400434387193722
AAPL,1986-11-28,40.0,0.155235,14593,1.1700172682519512,True,1.6892161183434171,-0.3073608192897393
AAPL,1986-12-31,40.5,0.0125,14593,1.1846424841051004,True,1.6892161183434171,-0.29870282953086114
AAPL,1987-01-30,55.5,0.37037,14593,1.6233985209431063,True,1.6892161183434171,-0.03896339650420627
AAPL,1987-02-27,70.0,0.261261,14593,2.047529241923223,True,2.047529241923223,0.0
AAPL,1987-03-31,64.5,-0.078571,14593,1.8866528218560736,False,2.047529241923223,-0.07857099999999997
AAPL,1987-04-30,79.25,0.228682,14593,2.3180963624637645,True,2.3180963624637645,0.0
AAPL,1987-05-29,79.0,-0.00164,14593,2.314294684429324,False,2.3180963624637645,-0.001639999999999888
AAPL,1987-06-30,40.5,0.025317,14593,2.3728856829550216,True,2.3728856829550216,0.0
AAPL,1987-07-31,41.25,0.018519,14593,2.4168291529176655,True,2.4168291529176655,0.0
AAPL,1987-08-31,54.0,0.310545,14593,3.167363362210482,True,3.167363362210482,0.0
AAPL,1987-09-30,56.5,0.046296,14593,3.313999616427378,True,3.313999616427378,0.0
AAPL,1987-10-30,38.625,-0.316372,14593,2.2655429297790155,False,3.313999616427378,-0.316372
AAPL,1987-11-30,33.0,-0.14356,14593,1.94030158677994,False,3.313999616427378,-0.41451363568
AAPL,1987-12-31,42.0,0.272727,14593,2.4694742176376727,True,3.313999616427378,-0.25483569599809935
AAPL,1988-01-29,41.5,-0.011905,14593,2.440075127076696,False,3.313999616427378,-0.26370687703724205
AAPL,1988-02-29,43.0,0.038072,14593,2.5329736673147605,True,3.313999616427378,-0.2356747252598038
AAPL,1988-03-31,40.0,-0.069767,14593,2.3562556934672116,False,3.313999616427378,-0.28899940670260305
AAPL,1988-04-29,41.0,0.025,14593,2.4151620858038916,True,3.313999616427378,-0.2712243918701682
AAPL,1988-05-31,41.5,0.014146,14593,2.4493269686696735,True,3.313999616427378,-0.2609151321175636
AAPL,1988-06-30,46.25,0.114458,14593,2.729672034849667,True,3.313999616427378,-0.1763209563094757
AAPL,1988-07-29,44.375,-0.040541,14593,2.6190084008848267,False,3.313999616427378,-0.20971372841973324
AAPL,1988-08-31,39.875,-0.099606,14593,2.3581394501062927,False,3.313999616427378,-0.2884309827867573
AAPL,1988-09-30,43.25,0.08464,14593,2.5577323731632893,True,3.313999616427378,-0.22820378116982842
AAPL,1988-10-31,38.625,-0.106936,14593,2.2842187041066997,False,3.313999616427378,-0.3107365816266517
AAPL,1988-11-30,37.625,-0.023301,14593,2.2309941240823092,False,3.313999616427378,-0.3267971085381691
AAPL,1988-12-30,40.25,0.069767,14593,2.3866438911371595,True,3.313999616427378,-0.27982976240955165
AAPL,1989-01-31,37.75,-0.062112,14593,2.2384046657708483,False,3.313999616427378,-0.32456097620676955
AAPL,1989-02-28,36.25,-0.037086,14593,2.1553911903360707,False,3.313999616427378,-0.34961030784316527
AAPL,1989-03-31,35.625,-0.017241,14593,2.1182300908234866,False,3.313999616427378,-0.36082367652564123
AAPL,1989-04-28,39.0,0.094737,14593,2.3189048549378315,True,3.313999616427378,-0.3002700291686508
AAPL,1989-05-31,47.75,0.226923,14593,2.845117701334889,True,3.313999616427378,-0.1414852049976886
AAPL,1989-06-30,41.25,-0.136126,14593,2.457823209122976,False,3.313999616427378,-0.25835138998217316
AAPL,1989-07-31,39.75,-0.036364,14593,2.3684469259464285,False,3.313999616427378,-0.28532070003686133
AAPL,1989-08-31,44.5,0.122013,14593,2.65742824072193,True,3.313999616427378,-0.19812053461045898
AAPL,1989-09-29,44.5,0.0,14593,2.65742824072193,False,3.313999616427378,-0.19812053461045898
AAPL,1989-10-31,46.5,0.044944,14593,2.7768636955729367,True,3.313999616427378,-0.1620808639179913
AAPL,1989-11-30,44.25,-0.046022,14593,2.649066874575279,False,3.313999616427378,-0.20064357839875757
AAPL,1989-12-29,35.25,-0.20339,14593,2.110273162955413,False,3.313999616427378,-0.36322468098823424
AAPL,1990-01-31,34.0,-0.035461,14593,2.035440766323851,False,3.313999616427378,-0.3858053705757105
AAPL,1990-02-28,34.0,0.003235,14593,2.042025417202909,True,3.313999616427378,-0.3838184509495228
AAPL,1990-03-30,40.25,0.183824,14593,2.4173986974948165,True,3.313999616427378,-0.2705494938768679
AAPL,1990-04-30,39.375,-0.021739,14593,2.3648468672099767,False,3.313999616427378,-0.28640701842947863
AAPL,1990-05-31,41.25,0.050413,14593,2.484065892326633,True,3.313999616427378,-0.250432655449564
AAPL,1990-06-29,44.75,0.084849,14593,2.6948363992246556,True,3.313999616427378,-0.18683261583180408
AAPL,1990-07-31,42.0,-0.061453,14593,2.529230617983103,False,3.313999616427378,-0.23680419109109216
AAPL,1990-08-31,37.0,-0.116429,14593,2.2347548263619483,False,3.313999616427378,-0.3256623159265474
AAPL,1990-09-28,29.0,-0.216216,14593,1.7515650768252733,False,3.313999616427378,-0.471464912626173
AAPL,1990-10-31,30.75,0.060345,14593,1.8572632713862947,True,3.313999616427378,-0.43957046277859935
AAPL,1990-11-30,36.75,0.199024,14593,2.226903236710681,True,3.313999616427378,-0.3280315345626472
AAPL,1990-12-31,43.0,0.170068,14593,2.6056282163715934,True,3.313999616427378,-0.21375120158264738
AAPL,1991-01-31,55.5,0.290698,14593,3.3630791276143825,True,3.3630791276143825,0.0
AAPL,1991-02-28,57.25,0.033694,14593,3.4763947157402217,True,3.4763947157402217,0.0
AAPL,1991-03-28,68.0,0.187773,14593,4.129167780698911,True,4.129167780698911,0.0
AAPL,1991-04-30,55.0,-0.191176,14593,3.339770001056016,False,4.129167780698911,-0.19117599999999996
AAPL,1991-05-31,47.0,-0.143273,14593,2.8612711336947174,False,4.129167780698911,-0.3070586409519999
AAPL,1991-06-28,41.5,-0.117021,14593,2.526442324358628,False,4.129167780698911,-0.388147331729156
AAPL,1991-07-31,46.25,0.114458,14593,2.8156138599200675,True,4.129167780698911,-0.3181158990242117
AAPL,1991-08-30,53.0,0.148541,14593,3.2338479582864545,True,4.129167780698911,-0.2168281527811671
AAPL,1991-09-30,49.5,-0.066038,14593,3.0202911068171336,False,4.129167780698911,-0.26854725522780437
AAPL,1991-10-31,51.5,0.040404,14593,3.1423229486969735,True,4.129167780698911,-0.23899363852802852
AAPL,1991-11-29,50.75,-0.012233,14593,3.103882912065563,False,4.129167780698911,-0.2483030293479152
AAPL,1991-12-31,56.375,0.110837,14593,3.447907982390174,True,4.129167780698911,-0.1649871922117501
AAPL,1992-01-31,64.75,0.148559,14593,3.960125744346076,True,4.129167780698911,-0.040938524499535424
AAPL,1992-02-28,67.5,0.044324,14593,4.1356543578384715,True,4.1356543578384715,0.0
AAPL,1992-03-31,58.25,-0.137037,14593,3.568916691603361,False,4.1356543578384715,-0.13703699999999996
AAPL,1992-04-30,60.125,0.032189,14593,3.6837965509893817,True,4.1356543578384715,-0.10925908399299993
AAPL,1992-05-29,59.75,-0.006237,14593,3.6608207119008607,False,4.1356543578384715,-0.11481463508613565
AAPL,1992-06-30,48.0,-0.194644,14593,2.9482639252536296,False,4.1356543578384715,-0.28711065525442986
AAPL,1992-07-31,46.75,-0.026042,14593,2.8714852361121745,False,4.1356543578384715,-0.305675719570294
AAPL,1992-08-31,46.0,-0.013476,14593,2.8327891010703268,False,4.1356543578384715,-0.31503243357336475
AAPL,1992-09-30,45.125,-0.019022,14593,2.7789037867897672,False,4.1356543578384715,-0.32806188662193214
AAPL,1992-10-30,52.5,0.163435,14593,3.233073927183753,True,4.1356543578384715,-0.2182436810619876
AAPL,1992-11-30,57.5,0.097524,14593,3.5483762288584213,True,4.1356543578384715,-0.14200367781387688
AAPL,1992-12-31,59.75,0.03913,14593,3.6872241906936516,True,4.1356543578384715,-0.10843028172673382
AAPL,1993-01-29,59.5,-0.004184,14593,3.6717968446797893,False,4.1356543578384715,-0.11216060942798918
AAPL,1993-02-26,53.0,-0.107227,14593,3.2780810844153097,False,4.1356543578384715,-0.20736096376085414
AAPL,1993-03-31,51.5,-0.028302,14593,3.1853048335641874,False,4.1356543578384715,-0.2297942337644945
AAPL,1993-04-30,51.25,-0.004854,14593,3.169843363902067,False,4.1356543578384715,-0.23353281255380162
